date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:56	19397/19397	---MCZ	200	added ('OK')	application/javascript	etag:W/%226634b887-4bc5%22	https://static.tildacdn.net/js/tilda-scripts-3.0.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/tilda-scripts-3.0.min.js	(from https://www.azstudio.agency/)
10:51:56	93064/93064	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260852438-16b88%22	https://static.tildacdn.net/js/jquery-1.10.2.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/jquery-1.10.2.min.js	(from https://www.azstudio.agency/)
10:51:57	46451/46451	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2012%20Jul%202024%2010:52:24%20GMT	https://static.tildacdn.net/ws/project6225424/tilda-blocks-page33953413.min.js?t=1720781544	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/ws/project6225424/tilda-blocks-page33953413.min646c.js	(from https://www.azstudio.agency/)
10:51:57	24232/24232	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265c62f6c-5ea8%22	https://static.tildacdn.net/js/tilda-lazyload-1.0.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/tilda-lazyload-1.0.min.js	(from https://www.azstudio.agency/)
10:51:58	34756/34756	---MCZ	200	added ('OK')	application/javascript	etag:W/%22664c5223-87c4%22	https://static.tildacdn.net/js/tilda-animation-2.0.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/tilda-animation-2.0.min.js	(from https://www.azstudio.agency/)
10:51:58	26341/26341	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266571ea5-66e5%22	https://static.tildacdn.net/js/tilda-zero-1.1.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/tilda-zero-1.1.min.js	(from https://www.azstudio.agency/)
10:51:58	21356/21356	---MCZ	200	added ('OK')	application/javascript	etag:W/%22664c5223-536c%22	https://static.tildacdn.net/js/tilda-submenublocks-1.0.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/tilda-submenublocks-1.0.min.js	(from https://www.azstudio.agency/)
10:51:59	42445/42445	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265640a91-a5cd%22	https://static.tildacdn.net/js/highlight.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/highlight.min.js	(from https://www.azstudio.agency/)
10:51:59	20726/20726	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265640a90-50f6%22	https://static.tildacdn.net/js/hammer.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/hammer.min.js	(from https://www.azstudio.agency/)
10:52:00	33155/33155	---MCZ	200	added ('OK')	application/javascript	etag:W/%226641cea2-8183%22	https://static.tildacdn.net/js/tilda-slds-1.4.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/tilda-slds-1.4.min.js	(from https://www.azstudio.agency/)
10:52:00	3554/3554	---MCZ	200	added ('OK')	application/javascript	etag:W/%22662a4e5c-de2%22	https://static.tildacdn.net/js/tilda-products-1.0.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/tilda-products-1.0.min.js	(from https://www.azstudio.agency/)
